DTM SUDAN: IDP Master List 25-04-2024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LOCATION INFORMATION,,,,TOTAL,,STATE of ORIGIN BY INDIVIUALS,,,,,,,,,,,,NATIONALITY BY INDIVIUALS,
STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
#adm1+name,#adm1+pcode,#adm2+name,#adm2+pcode,#affected+idps+hh,#affected+idps+ind,,,,,,,,,,,,,,
 Red Sea , SD10 , Tawkar , SD10065 , 620 , 124 , 40 , -   , -   , 565 , -   , 10 , -   , -   , 5 , -   , -   , -   , 620 , -   
 River Nile , SD16 , Abu Hamad , SD16008 ," 49,738 "," 9,948 ", -   , -   , -   ," 49,631 ", 107 , -   , -   , -   , -   , -   , -   , -   ," 49,738 ", -   
 River Nile , SD16 , Ad Damar , SD16011 ," 147,774 "," 29,592 "," 3,828 ", -   , -   ," 143,946 ", -   , -   , -   , -   , -   , -   , -   , -   ," 147,774 ", -   
 River Nile , SD16 , Al Buhaira , SD16014 ," 25,315 "," 5,063 "," 2,400 ", -   , -   ," 22,915 ", -   , -   , -   , -   , -   , -   , -   , -   ," 25,315 ", -   
 River Nile , SD16 , Al Matama , SD16009 ," 106,448 "," 21,306 "," 1,760 ", -   , -   ," 104,688 ", -   , -   , -   , -   , -   , -   , -   , -   ," 106,448 ", -   
 River Nile , SD16 , Atbara , SD16012 ," 162,509 "," 32,546 "," 5,799 ", -   , -   ," 156,710 ", -   , -   , -   , -   , -   , -   , -   , -   ," 162,509 ", -   
 River Nile , SD16 , Barbar , SD16013 ," 21,000 "," 4,234 "," 1,096 ", -   , -   ," 19,904 ", -   , -   , -   , -   , -   , -   , -   , -   ," 20,772 ", 228 
 River Nile , SD16 , Shendi , SD16010 ," 185,550 "," 35,110 "," 2,641 ", 115 , 90 ," 182,474 ", 80 , 45 , -   , 50 , 30 , 25 , -   , -   ," 185,550 ", -   
 Sennar , SD14 , Abu Hujar , SD14037 ," 49,045 "," 9,796 "," 7,742 ", -   , -   ," 39,014 ", -   , -   ," 2,289 ", -   , -   , -   , -   , -   ," 49,045 ", -   
 Sennar , SD14 , Ad Dali , SD14039 ," 50,556 "," 10,095 "," 13,594 ", -   , -   ," 35,080 ", -   , -   ," 1,882 ", -   , -   , -   , -   , -   ," 50,556 ", -   
 Sennar , SD14 , Ad Dinder , SD14040 ," 62,503 "," 12,493 "," 10,457 ", -   , -   ," 50,066 ", -   , -   ," 1,980 ", -   , -   , -   , -   , -   ," 62,503 ", -   
 Sennar , SD14 , As Suki , SD14041 ," 95,574 "," 18,994 "," 41,277 ", -   , -   ," 49,083 ", -   , -   ," 5,214 ", -   , -   , -   , -   , -   ," 95,574 ", -   
 Sennar , SD14 , Sennar , SD14038 ," 143,899 "," 28,182 "," 32,723 ", -   , -   ," 84,923 ", -   , -   ," 26,253 ", -   , -   , -   , -   , -   ," 143,899 ", -   
 Sennar , SD14 , Sharg Sennar , SD14042 ," 60,254 "," 12,094 "," 10,903 ", -   , -   ," 47,544 ", -   , -   ," 1,807 ", -   , -   , -   , -   , -   ," 60,254 ", -   
 Sennar , SD14 , Sinja , SD14043 ," 62,155 "," 12,348 "," 18,644 ", -   , -   ," 42,217 ", -   , -   ," 1,294 ", -   , -   , -   , -   , -   ," 62,155 ", -   
 South Darfur , SD03 , Al Radoum , SD03141 ," 2,795 ", 559 , -   , -   , -   , -   , -   , -   , -   ," 2,795 ", -   , -   , -   , -   ," 2,795 ", -   
 South Darfur , SD03 , Al Wihda , SD03150 ," 10,040 "," 2,008 ", -   , -   , -   , -   ," 1,365 ", -   , -   ," 8,675 ", -   , -   , -   , -   ," 10,040 ", -   
 South Darfur , SD03 , As Salam - SD , SD03166 ," 10,600 "," 2,120 ", -   ," 1,025 ", -   , -   , -   , -   , -   ," 9,575 ", -   , -   , -   , -   ," 10,600 ", -   
 South Darfur , SD03 , As Sunta , SD03156 ," 101,730 "," 20,346 ", -   ," 2,350 ", -   ," 3,525 "," 4,705 ", -   , -   ," 89,975 ", -   ," 1,175 ", -   , -   ," 101,730 ", -   
 South Darfur , SD03 , Beliel , SD03162 ," 141,978 "," 28,394 ", -   , -   , -   , -   , -   , -   , -   ," 141,978 ", -   , -   , -   , -   ," 141,978 ", -   
 South Darfur , SD03 , Buram , SD03161 ," 173,485 "," 34,697 ", -   ," 2,000 ", -   ," 9,000 "," 5,055 ", -   , -   ," 154,430 ", -   ," 3,000 ", -   , -   ," 173,485 ", -   
 South Darfur , SD03 , Damso , SD03172 ," 2,910 ", 582 , -   , -   , -   , -   , -   , -   , -   ," 2,910 ", -   , -   , -   , -   ," 2,910 ", -   
 South Darfur , SD03 , Ed Al Fursan , SD03143 ," 29,995 "," 5,999 ", -   ," 2,250 ", -   ," 1,625 ", 885 , -   , -   ," 24,985 ", -   , 250 , -   , -   ," 29,995 ", -   
 South Darfur , SD03 , Gereida , SD03153 ," 1,925 ", 385 , -   , -   , -   , -   , -   , -   , -   ," 1,925 ", -   , -   , -   , -   ," 1,925 ", -   
 South Darfur , SD03 , Kas , SD03144 ," 61,200 "," 12,240 ", -   ," 1,040 ", -   , -   , -   , -   , -   ," 60,160 ", -   , -   , -   , -   ," 61,200 ", -   
 South Darfur , SD03 , Kateila , SD03159 ," 29,360 "," 5,872 ", -   , -   , -   ," 2,500 ", -   , -   , -   ," 26,860 ", -   , -   , -   , -   ," 29,360 ", -   
 South Darfur , SD03 , Kubum , SD03157 ," 5,375 "," 1,075 ", -   , 50 , -   , -   , -   , -   , -   ," 5,325 ", -   , -   , -   , -   ," 5,375 ", -   
 South Darfur , SD03 , Mershing , SD03145 ," 26,520 "," 5,304 ", -   , -   , -   , -   , 375 , -   , -   ," 26,145 ", -   , -   , -   , -   ," 26,520 ", -   
