State_Of_Displacement,State_Code,IDPs,HHs,Sudanes,Non_Sudanes,Year,Month,State_Of_Origin,IDPs_by_State_Of_Origin,State_origin_Code
South Kordofan,SD07,198839,39492,198097,742,2024,Apr,South Kordofan,124758,SD07
West Darfur,SD04,174540,34908,174540,0,2024,Apr,South Kordofan,0,SD07
West Kordofan,SD18,148718,29340,148718,0,2024,Apr,South Kordofan,6773,SD07
White Nile,SD09,532643,105920,442949,89694,2024,Apr,South Kordofan,0,SD07
Aj Jazirah,SD15,371177,73323,371177,0,2024,Apr,West Darfur,0,SD04
Blue Nile,SD08,147736,29836,147241,495,2024,Apr,West Darfur,0,SD04
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,West Darfur,61650,SD04
East Darfur,SD05,660140,131918,660140,0,2024,Apr,West Darfur,0,SD04
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,West Darfur,0,SD04
Kassala,SD11,200083,40282,196213,3870,2024,Apr,West Darfur,0,SD04
Khartoum,SD01,69057,13717,68822,235,2024,Apr,West Darfur,0,SD04
North Darfur,SD02,573055,114503,572938,117,2024,Apr,West Darfur,12945,SD04
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,West Darfur,0,SD04
Northern,SD17,399867,80305,399136,731,2024,Apr,West Darfur,0,SD04
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,West Darfur,381,SD04
River Nile,SD16,698334,137799,698106,228,2024,Apr,West Darfur,25,SD04
Sennar,SD14,523986,104002,523986,0,2024,Apr,West Darfur,0,SD04
South Darfur,SD03,744243,148848,744243,0,2024,Apr,West Darfur,4600,SD04
South Kordofan,SD07,198839,39492,198097,742,2024,Apr,West Darfur,0,SD04
West Darfur,SD04,174540,34908,174540,0,2024,Apr,West Darfur,156115,SD04
West Kordofan,SD18,148718,29340,148718,0,2024,Apr,West Darfur,0,SD04
White Nile,SD09,532643,105920,442949,89694,2024,Apr,West Darfur,0,SD04
Aj Jazirah,SD15,371177,73323,371177,0,2024,Apr,West Kordofan,0,SD18
Blue Nile,SD08,147736,29836,147241,495,2024,Apr,West Kordofan,0,SD18
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,West Kordofan,0,SD18
East Darfur,SD05,660140,131918,660140,0,2024,Apr,West Kordofan,1685,SD18
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,West Kordofan,0,SD18
Kassala,SD11,200083,40282,196213,3870,2024,Apr,West Kordofan,0,SD18
Khartoum,SD01,69057,13717,68822,235,2024,Apr,West Kordofan,0,SD18
North Darfur,SD02,573055,114503,572938,117,2024,Apr,West Kordofan,165,SD18
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,West Kordofan,365,SD18
Northern,SD17,399867,80305,399136,731,2024,Apr,West Kordofan,0,SD18
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,West Kordofan,0,SD18
River Nile,SD16,698334,137799,698106,228,2024,Apr,West Kordofan,0,SD18
Sennar,SD14,523986,104002,523986,0,2024,Apr,West Kordofan,0,SD18
South Darfur,SD03,744243,148848,744243,0,2024,Apr,West Kordofan,0,SD18
South Kordofan,SD07,198839,39492,198097,742,2024,Apr,West Kordofan,30,SD18
West Darfur,SD04,174540,34908,174540,0,2024,Apr,West Kordofan,0,SD18
West Kordofan,SD18,148718,29340,148718,0,2024,Apr,West Kordofan,68719,SD18
White Nile,SD09,532643,105920,442949,89694,2024,Apr,West Kordofan,0,SD18
Aj Jazirah,SD15,371177,73323,371177,0,2024,Apr,White Nile,3842,SD09
Blue Nile,SD08,147736,29836,147241,495,2024,Apr,White Nile,70,SD09
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,White Nile,0,SD09
East Darfur,SD05,660140,131918,660140,0,2024,Apr,White Nile,0,SD09
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,White Nile,0,SD09
Kassala,SD11,200083,40282,196213,3870,2024,Apr,White Nile,0,SD09
Khartoum,SD01,69057,13717,68822,235,2024,Apr,White Nile,0,SD09
North Darfur,SD02,573055,114503,572938,117,2024,Apr,White Nile,0,SD09
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,White Nile,125,SD09
Northern,SD17,399867,80305,399136,731,2024,Apr,White Nile,100,SD09
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,White Nile,895,SD09
River Nile,SD16,698334,137799,698106,228,2024,Apr,White Nile,0,SD09
Sennar,SD14,523986,104002,523986,0,2024,Apr,White Nile,0,SD09
South Darfur,SD03,744243,148848,744243,0,2024,Apr,White Nile,0,SD09
South Kordofan,SD07,198839,39492,198097,742,2024,Apr,White Nile,149,SD09
West Darfur,SD04,174540,34908,174540,0,2024,Apr,White Nile,0,SD09
West Kordofan,SD18,148718,29340,148718,0,2024,Apr,White Nile,0,SD09
White Nile,SD09,532643,105920,442949,89694,2024,Apr,White Nile,7313,SD09
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,Aj Jazirah,157346,SD15
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,Aj Jazirah,11476,SD15
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,Aj Jazirah,0,SD15
East Darfur,SD05,664265,132833,664265,0,2024,Mar,Aj Jazirah,0,SD15
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,Aj Jazirah,88699,SD15
Kassala,SD11,193709,39011,189839,3870,2024,Mar,Aj Jazirah,47276,SD15
Khartoum,SD01,54355,10805,54120,235,2024,Mar,Aj Jazirah,1425,SD15
North Darfur,SD02,531892,106317,531774,118,2024,Mar,Aj Jazirah,65,SD15
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,Aj Jazirah,1673,SD15
Northern,SD17,404660,80610,403929,731,2024,Mar,Aj Jazirah,9370,SD15
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,Aj Jazirah,63631,SD15
River Nile,SD16,706906,143509,706906,0,2024,Mar,Aj Jazirah,17114,SD15
Sennar,SD14,496087,98539,496087,0,2024,Mar,Aj Jazirah,103767,SD15
South Darfur,SD03,744823,148964,744823,0,2024,Mar,Aj Jazirah,0,SD15
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,Aj Jazirah,2875,SD15
West Darfur,SD04,171795,34359,171795,0,2024,Mar,Aj Jazirah,0,SD15
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,Aj Jazirah,0,SD15
White Nile,SD09,525735,104883,435897,89838,2024,Mar,Aj Jazirah,50865,SD15
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,Central Darfur,0,SD06
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,Central Darfur,0,SD06
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,Central Darfur,271285,SD06
East Darfur,SD05,664265,132833,664265,0,2024,Mar,Central Darfur,0,SD06
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,Central Darfur,0,SD06
Kassala,SD11,193709,39011,189839,3870,2024,Mar,Central Darfur,0,SD06
Khartoum,SD01,54355,10805,54120,235,2024,Mar,Central Darfur,0,SD06
North Darfur,SD02,531892,106317,531774,118,2024,Mar,Central Darfur,7940,SD06
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,Central Darfur,0,SD06
Northern,SD17,404660,80610,403929,731,2024,Mar,Central Darfur,0,SD06
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,Central Darfur,146,SD06
River Nile,SD16,706906,143509,706906,0,2024,Mar,Central Darfur,65,SD06
Sennar,SD14,496087,98539,496087,0,2024,Mar,Central Darfur,0,SD06
South Darfur,SD03,744823,148964,744823,0,2024,Mar,Central Darfur,9365,SD06
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,Central Darfur,0,SD06
West Darfur,SD04,171795,34359,171795,0,2024,Mar,Central Darfur,3520,SD06
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,Central Darfur,0,SD06
White Nile,SD09,525735,104883,435897,89838,2024,Mar,Central Darfur,0,SD06
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,East Darfur,0,SD05
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,East Darfur,0,SD05
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,East Darfur,0,SD05
East Darfur,SD05,664265,132833,664265,0,2024,Mar,East Darfur,75335,SD05
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,East Darfur,0,SD05
Kassala,SD11,193709,39011,189839,3870,2024,Mar,East Darfur,0,SD05
Khartoum,SD01,54355,10805,54120,235,2024,Mar,East Darfur,0,SD05
North Darfur,SD02,531892,106317,531774,118,2024,Mar,East Darfur,208,SD05
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,East Darfur,0,SD05
Northern,SD17,404660,80610,403929,731,2024,Mar,East Darfur,0,SD05
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,East Darfur,0,SD05
River Nile,SD16,706906,143509,706906,0,2024,Mar,East Darfur,0,SD05
Sennar,SD14,496087,98539,496087,0,2024,Mar,East Darfur,0,SD05
South Darfur,SD03,744823,148964,744823,0,2024,Mar,East Darfur,0,SD05
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,East Darfur,0,SD05
West Darfur,SD04,171795,34359,171795,0,2024,Mar,East Darfur,1685,SD05
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,East Darfur,5,SD05
White Nile,SD09,525735,104883,435897,89838,2024,Mar,East Darfur,0,SD05
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,Khartoum,196778,SD01
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,Khartoum,121375,SD01
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,Khartoum,2755,SD01
East Darfur,SD05,664265,132833,664265,0,2024,Mar,Khartoum,358630,SD01
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,Khartoum,338270,SD01
Kassala,SD11,193709,39011,189839,3870,2024,Mar,Khartoum,146433,SD01
Khartoum,SD01,54355,10805,54120,235,2024,Mar,Khartoum,52930,SD01
North Darfur,SD02,531892,106317,531774,118,2024,Mar,Khartoum,8901,SD01
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,Khartoum,122675,SD01
Northern,SD17,404660,80610,403929,731,2024,Mar,Khartoum,394987,SD01
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,Khartoum,162661,SD01
River Nile,SD16,706906,143509,706906,0,2024,Mar,Khartoum,689530,SD01
Sennar,SD14,496087,98539,496087,0,2024,Mar,Khartoum,353462,SD01
South Darfur,SD03,744823,148964,744823,0,2024,Mar,Khartoum,16650,SD01
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,Khartoum,65246,SD01
West Darfur,SD04,171795,34359,171795,0,2024,Mar,Khartoum,2614,SD01
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,Khartoum,61370,SD01
White Nile,SD09,525735,104883,435897,89838,2024,Mar,Khartoum,467802,SD01
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,North Darfur,0,SD02
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,North Darfur,5,SD02
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,North Darfur,73135,SD02
East Darfur,SD05,664265,132833,664265,0,2024,Mar,North Darfur,14600,SD02
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,North Darfur,1557,SD02
Kassala,SD11,193709,39011,189839,3870,2024,Mar,North Darfur,0,SD02
Khartoum,SD01,54355,10805,54120,235,2024,Mar,North Darfur,0,SD02
North Darfur,SD02,531892,106317,531774,118,2024,Mar,North Darfur,466040,SD02
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,North Darfur,0,SD02
Northern,SD17,404660,80610,403929,731,2024,Mar,North Darfur,0,SD02
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,North Darfur,5091,SD02
River Nile,SD16,706906,143509,706906,0,2024,Mar,North Darfur,157,SD02
Sennar,SD14,496087,98539,496087,0,2024,Mar,North Darfur,0,SD02
South Darfur,SD03,744823,148964,744823,0,2024,Mar,North Darfur,12350,SD02
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,North Darfur,0,SD02
West Darfur,SD04,171795,34359,171795,0,2024,Mar,North Darfur,311,SD02
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,North Darfur,845,SD02
White Nile,SD09,525735,104883,435897,89838,2024,Mar,North Darfur,0,SD02
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,North Kordofan,0,SD13
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,North Kordofan,35,SD13
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,North Kordofan,0,SD13
East Darfur,SD05,664265,132833,664265,0,2024,Mar,North Kordofan,3910,SD13
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,North Kordofan,350,SD13
Kassala,SD11,193709,39011,189839,3870,2024,Mar,North Kordofan,0,SD13
Khartoum,SD01,54355,10805,54120,235,2024,Mar,North Kordofan,0,SD13
North Darfur,SD02,531892,106317,531774,118,2024,Mar,North Kordofan,425,SD13
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,North Kordofan,22559,SD13
Northern,SD17,404660,80610,403929,731,2024,Mar,North Kordofan,0,SD13
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,North Kordofan,5393,SD13
River Nile,SD16,706906,143509,706906,0,2024,Mar,North Kordofan,25,SD13
Sennar,SD14,496087,98539,496087,0,2024,Mar,North Kordofan,0,SD13
South Darfur,SD03,744823,148964,744823,0,2024,Mar,North Kordofan,0,SD13
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,North Kordofan,5125,SD13
West Darfur,SD04,171795,34359,171795,0,2024,Mar,North Kordofan,0,SD13
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,North Kordofan,10599,SD13
White Nile,SD09,525735,104883,435897,89838,2024,Mar,North Kordofan,269,SD13
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,Sennar,0,SD14
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,Sennar,595,SD14
