State_Of_Displacement,State_Code,IDPs,HHs,Sudanes,Non_Sudanes,Year,Month,State_Of_Origin,IDPs_by_State_Of_Origin,State_origin_Code
Northern,SD17,362516,73161,361611,905,2023,Oct,South Kordofan,0,SD07
Red Sea,SD10,124470,24870,109301,15169,2023,Oct,South Kordofan,0,SD07
River Nile,SD16,577568,115389,577243,325,2023,Oct,South Kordofan,0,SD07
Sennar,SD14,325836,65014,325836,0,2023,Oct,South Kordofan,0,SD07
South Darfur,SD03,599538,119906,599538,0,2023,Oct,South Kordofan,0,SD07
South Kordofan,SD07,97336,19053,96624,712,2023,Oct,South Kordofan,30371,SD07
West Darfur,SD04,112650,22530,112650,0,2023,Oct,South Kordofan,0,SD07
West Kordofan,SD18,58421,11396,58421,0,2023,Oct,South Kordofan,1860,SD07
White Nile,SD09,416328,82929,325668,90660,2023,Oct,South Kordofan,0,SD07
Aj Jazirah,SD15,404661,78472,404661,0,2023,Oct,West Darfur,0,SD04
Blue Nile,SD08,54005,10789,53560,445,2023,Oct,West Darfur,0,SD04
Central Darfur,SD06,300065,60013,300065,0,2023,Oct,West Darfur,54750,SD04
East Darfur,SD05,536680,107316,536680,0,2023,Oct,West Darfur,0,SD04
Gedaref,SD12,270496,53888,262961,7535,2023,Oct,West Darfur,0,SD04
Kassala,SD11,110170,22001,104740,5430,2023,Oct,West Darfur,0,SD04
Khartoum,SD01,64030,12796,64030,0,2023,Oct,West Darfur,0,SD04
North Darfur,SD02,340838,68037,340838,0,2023,Oct,West Darfur,12335,SD04
North Kordofan,SD13,100686,19712,100684,2,2023,Oct,West Darfur,0,SD04
Northern,SD17,362516,73161,361611,905,2023,Oct,West Darfur,0,SD04
Red Sea,SD10,124470,24870,109301,15169,2023,Oct,West Darfur,0,SD04
River Nile,SD16,577568,115389,577243,325,2023,Oct,West Darfur,0,SD04
Sennar,SD14,325836,65014,325836,0,2023,Oct,West Darfur,0,SD04
South Darfur,SD03,599538,119906,599538,0,2023,Oct,West Darfur,4350,SD04
South Kordofan,SD07,97336,19053,96624,712,2023,Oct,West Darfur,0,SD04
West Darfur,SD04,112650,22530,112650,0,2023,Oct,West Darfur,109055,SD04
West Kordofan,SD18,58421,11396,58421,0,2023,Oct,West Darfur,10,SD04
White Nile,SD09,416328,82929,325668,90660,2023,Oct,West Darfur,0,SD04
Aj Jazirah,SD15,298674,59489,298674,0,2023,Sep,Aj Jazirah,425,SD15
Blue Nile,SD08,52794,10527,52369,425,2023,Sep,Aj Jazirah,0,SD15
Central Darfur,SD06,287095,57419,287095,0,2023,Sep,Aj Jazirah,0,SD15
East Darfur,SD05,500515,100083,500515,0,2023,Sep,Aj Jazirah,0,SD15
Gedaref,SD12,252824,50518,245289,7535,2023,Sep,Aj Jazirah,0,SD15
Kassala,SD11,102777,20552,97347,5430,2023,Sep,Aj Jazirah,0,SD15
Khartoum,SD01,60100,12392,60100,0,2023,Sep,Aj Jazirah,0,SD15
North Darfur,SD02,329645,65809,329645,0,2023,Sep,Aj Jazirah,0,SD15
North Kordofan,SD13,90168,17681,90166,2,2023,Sep,Aj Jazirah,0,SD15
Northern,SD17,364378,73384,363473,905,2023,Sep,Aj Jazirah,0,SD15
Red Sea,SD10,108420,21671,94691,13729,2023,Sep,Aj Jazirah,0,SD15
River Nile,SD16,512755,101376,512430,325,2023,Sep,Aj Jazirah,0,SD15
Sennar,SD14,327091,64729,327091,0,2023,Sep,Aj Jazirah,0,SD15
South Darfur,SD03,490153,98029,490153,0,2023,Sep,Aj Jazirah,0,SD15
South Kordofan,SD07,84899,16637,84320,579,2023,Sep,Aj Jazirah,0,SD15
West Darfur,SD04,100335,20067,100335,0,2023,Sep,Aj Jazirah,0,SD15
West Kordofan,SD18,46231,8944,46231,0,2023,Sep,Aj Jazirah,0,SD15
White Nile,SD09,286238,57271,194968,91270,2023,Sep,Aj Jazirah,0,SD15
Aj Jazirah,SD15,298674,59489,298674,0,2023,Sep,Central Darfur,0,SD06
Blue Nile,SD08,52794,10527,52369,425,2023,Sep,Central Darfur,0,SD06
Central Darfur,SD06,287095,57419,287095,0,2023,Sep,Central Darfur,166410,SD06
East Darfur,SD05,500515,100083,500515,0,2023,Sep,Central Darfur,0,SD06
Gedaref,SD12,252824,50518,245289,7535,2023,Sep,Central Darfur,0,SD06
Kassala,SD11,102777,20552,97347,5430,2023,Sep,Central Darfur,0,SD06
Khartoum,SD01,60100,12392,60100,0,2023,Sep,Central Darfur,0,SD06
North Darfur,SD02,329645,65809,329645,0,2023,Sep,Central Darfur,5260,SD06
North Kordofan,SD13,90168,17681,90166,2,2023,Sep,Central Darfur,0,SD06
Northern,SD17,364378,73384,363473,905,2023,Sep,Central Darfur,0,SD06
Red Sea,SD10,108420,21671,94691,13729,2023,Sep,Central Darfur,0,SD06
River Nile,SD16,512755,101376,512430,325,2023,Sep,Central Darfur,0,SD06
Sennar,SD14,327091,64729,327091,0,2023,Sep,Central Darfur,0,SD06
South Darfur,SD03,490153,98029,490153,0,2023,Sep,Central Darfur,0,SD06
South Kordofan,SD07,84899,16637,84320,579,2023,Sep,Central Darfur,0,SD06
West Darfur,SD04,100335,20067,100335,0,2023,Sep,Central Darfur,2200,SD06
West Kordofan,SD18,46231,8944,46231,0,2023,Sep,Central Darfur,0,SD06
White Nile,SD09,286238,57271,194968,91270,2023,Sep,Central Darfur,0,SD06
Aj Jazirah,SD15,298674,59489,298674,0,2023,Sep,Khartoum,298249,SD01
Blue Nile,SD08,52794,10527,52369,425,2023,Sep,Khartoum,52794,SD01
Central Darfur,SD06,287095,57419,287095,0,2023,Sep,Khartoum,0,SD01
East Darfur,SD05,500515,100083,500515,0,2023,Sep,Khartoum,358480,SD01
Gedaref,SD12,252824,50518,245289,7535,2023,Sep,Khartoum,252824,SD01
Kassala,SD11,102777,20552,97347,5430,2023,Sep,Khartoum,102777,SD01
Khartoum,SD01,60100,12392,60100,0,2023,Sep,Khartoum,60100,SD01
North Darfur,SD02,329645,65809,329645,0,2023,Sep,Khartoum,7425,SD01
North Kordofan,SD13,90168,17681,90166,2,2023,Sep,Khartoum,79482,SD01
Northern,SD17,364378,73384,363473,905,2023,Sep,Khartoum,364378,SD01
Red Sea,SD10,108420,21671,94691,13729,2023,Sep,Khartoum,108420,SD01
River Nile,SD16,512755,101376,512430,325,2023,Sep,Khartoum,512755,SD01
Sennar,SD14,327091,64729,327091,0,2023,Sep,Khartoum,327091,SD01
South Darfur,SD03,490153,98029,490153,0,2023,Sep,Khartoum,550,SD01
South Kordofan,SD07,84899,16637,84320,579,2023,Sep,Khartoum,59934,SD01
West Darfur,SD04,100335,20067,100335,0,2023,Sep,Khartoum,350,SD01
West Kordofan,SD18,46231,8944,46231,0,2023,Sep,Khartoum,39831,SD01
White Nile,SD09,286238,57271,194968,91270,2023,Sep,Khartoum,286201,SD01
Aj Jazirah,SD15,298674,59489,298674,0,2023,Sep,North Darfur,0,SD02
Blue Nile,SD08,52794,10527,52369,425,2023,Sep,North Darfur,0,SD02
Central Darfur,SD06,287095,57419,287095,0,2023,Sep,North Darfur,67785,SD02
East Darfur,SD05,500515,100083,500515,0,2023,Sep,North Darfur,7815,SD02
Gedaref,SD12,252824,50518,245289,7535,2023,Sep,North Darfur,0,SD02
Kassala,SD11,102777,20552,97347,5430,2023,Sep,North Darfur,0,SD02
Khartoum,SD01,60100,12392,60100,0,2023,Sep,North Darfur,0,SD02
North Darfur,SD02,329645,65809,329645,0,2023,Sep,North Darfur,284783,SD02
North Kordofan,SD13,90168,17681,90166,2,2023,Sep,North Darfur,0,SD02
Northern,SD17,364378,73384,363473,905,2023,Sep,North Darfur,0,SD02
Red Sea,SD10,108420,21671,94691,13729,2023,Sep,North Darfur,0,SD02
River Nile,SD16,512755,101376,512430,325,2023,Sep,North Darfur,0,SD02
Sennar,SD14,327091,64729,327091,0,2023,Sep,North Darfur,0,SD02
South Darfur,SD03,490153,98029,490153,0,2023,Sep,North Darfur,0,SD02
South Kordofan,SD07,84899,16637,84320,579,2023,Sep,North Darfur,0,SD02
West Darfur,SD04,100335,20067,100335,0,2023,Sep,North Darfur,0,SD02
West Kordofan,SD18,46231,8944,46231,0,2023,Sep,North Darfur,865,SD02
White Nile,SD09,286238,57271,194968,91270,2023,Sep,North Darfur,0,SD02
Aj Jazirah,SD15,298674,59489,298674,0,2023,Sep,North Kordofan,0,SD13
Blue Nile,SD08,52794,10527,52369,425,2023,Sep,North Kordofan,0,SD13
Central Darfur,SD06,287095,57419,287095,0,2023,Sep,North Kordofan,0,SD13
East Darfur,SD05,500515,100083,500515,0,2023,Sep,North Kordofan,3910,SD13
Gedaref,SD12,252824,50518,245289,7535,2023,Sep,North Kordofan,0,SD13
Kassala,SD11,102777,20552,97347,5430,2023,Sep,North Kordofan,0,SD13
Khartoum,SD01,60100,12392,60100,0,2023,Sep,North Kordofan,0,SD13
North Darfur,SD02,329645,65809,329645,0,2023,Sep,North Kordofan,0,SD13
North Kordofan,SD13,90168,17681,90166,2,2023,Sep,North Kordofan,9976,SD13
Northern,SD17,364378,73384,363473,905,2023,Sep,North Kordofan,0,SD13
Red Sea,SD10,108420,21671,94691,13729,2023,Sep,North Kordofan,0,SD13
River Nile,SD16,512755,101376,512430,325,2023,Sep,North Kordofan,0,SD13
Sennar,SD14,327091,64729,327091,0,2023,Sep,North Kordofan,0,SD13
South Darfur,SD03,490153,98029,490153,0,2023,Sep,North Kordofan,0,SD13
South Kordofan,SD07,84899,16637,84320,579,2023,Sep,North Kordofan,2136,SD13
West Darfur,SD04,100335,20067,100335,0,2023,Sep,North Kordofan,0,SD13
West Kordofan,SD18,46231,8944,46231,0,2023,Sep,North Kordofan,3451,SD13
White Nile,SD09,286238,57271,194968,91270,2023,Sep,North Kordofan,37,SD13
Aj Jazirah,SD15,298674,59489,298674,0,2023,Sep,South Darfur,0,SD03
Blue Nile,SD08,52794,10527,52369,425,2023,Sep,South Darfur,0,SD03
Central Darfur,SD06,287095,57419,287095,0,2023,Sep,South Darfur,2150,SD03
East Darfur,SD05,500515,100083,500515,0,2023,Sep,South Darfur,130310,SD03
Gedaref,SD12,252824,50518,245289,7535,2023,Sep,South Darfur,0,SD03
Kassala,SD11,102777,20552,97347,5430,2023,Sep,South Darfur,0,SD03
Khartoum,SD01,60100,12392,60100,0,2023,Sep,South Darfur,0,SD03
North Darfur,SD02,329645,65809,329645,0,2023,Sep,South Darfur,19942,SD03
North Kordofan,SD13,90168,17681,90166,2,2023,Sep,South Darfur,0,SD03
Northern,SD17,364378,73384,363473,905,2023,Sep,South Darfur,0,SD03
Red Sea,SD10,108420,21671,94691,13729,2023,Sep,South Darfur,0,SD03
River Nile,SD16,512755,101376,512430,325,2023,Sep,South Darfur,0,SD03
Sennar,SD14,327091,64729,327091,0,2023,Sep,South Darfur,0,SD03
South Darfur,SD03,490153,98029,490153,0,2023,Sep,South Darfur,489428,SD03
South Kordofan,SD07,84899,16637,84320,579,2023,Sep,South Darfur,0,SD03
West Darfur,SD04,100335,20067,100335,0,2023,Sep,South Darfur,325,SD03
West Kordofan,SD18,46231,8944,46231,0,2023,Sep,South Darfur,70,SD03
White Nile,SD09,286238,57271,194968,91270,2023,Sep,South Darfur,0,SD03
Aj Jazirah,SD15,298674,59489,298674,0,2023,Sep,South Kordofan,0,SD07
Blue Nile,SD08,52794,10527,52369,425,2023,Sep,South Kordofan,0,SD07
Central Darfur,SD06,287095,57419,287095,0,2023,Sep,South Kordofan,0,SD07
East Darfur,SD05,500515,100083,500515,0,2023,Sep,South Kordofan,0,SD07
Gedaref,SD12,252824,50518,245289,7535,2023,Sep,South Kordofan,0,SD07
Kassala,SD11,102777,20552,97347,5430,2023,Sep,South Kordofan,0,SD07
Khartoum,SD01,60100,12392,60100,0,2023,Sep,South Kordofan,0,SD07
North Darfur,SD02,329645,65809,329645,0,2023,Sep,South Kordofan,0,SD07
North Kordofan,SD13,90168,17681,90166,2,2023,Sep,South Kordofan,710,SD07
Northern,SD17,364378,73384,363473,905,2023,Sep,South Kordofan,0,SD07
Red Sea,SD10,108420,21671,94691,13729,2023,Sep,South Kordofan,0,SD07
River Nile,SD16,512755,101376,512430,325,2023,Sep,South Kordofan,0,SD07
Sennar,SD14,327091,64729,327091,0,2023,Sep,South Kordofan,0,SD07
South Darfur,SD03,490153,98029,490153,0,2023,Sep,South Kordofan,0,SD07
South Kordofan,SD07,84899,16637,84320,579,2023,Sep,South Kordofan,22829,SD07
West Darfur,SD04,100335,20067,100335,0,2023,Sep,South Kordofan,0,SD07
West Kordofan,SD18,46231,8944,46231,0,2023,Sep,South Kordofan,2004,SD07
White Nile,SD09,286238,57271,194968,91270,2023,Sep,South Kordofan,0,SD07
Aj Jazirah,SD15,298674,59489,298674,0,2023,Sep,West Darfur,0,SD04
Blue Nile,SD08,52794,10527,52369,425,2023,Sep,West Darfur,0,SD04
Central Darfur,SD06,287095,57419,287095,0,2023,Sep,West Darfur,50750,SD04
East Darfur,SD05,500515,100083,500515,0,2023,Sep,West Darfur,0,SD04
Gedaref,SD12,252824,50518,245289,7535,2023,Sep,West Darfur,0,SD04
Kassala,SD11,102777,20552,97347,5430,2023,Sep,West Darfur,0,SD04
Khartoum,SD01,60100,12392,60100,0,2023,Sep,West Darfur,0,SD04
North Darfur,SD02,329645,65809,329645,0,2023,Sep,West Darfur,12235,SD04
North Kordofan,SD13,90168,17681,90166,2,2023,Sep,West Darfur,0,SD04
Northern,SD17,364378,73384,363473,905,2023,Sep,West Darfur,0,SD04
Red Sea,SD10,108420,21671,94691,13729,2023,Sep,West Darfur,0,SD04
River Nile,SD16,512755,101376,512430,325,2023,Sep,West Darfur,0,SD04
Sennar,SD14,327091,64729,327091,0,2023,Sep,West Darfur,0,SD04
South Darfur,SD03,490153,98029,490153,0,2023,Sep,West Darfur,175,SD04
South Kordofan,SD07,84899,16637,84320,579,2023,Sep,West Darfur,0,SD04
West Darfur,SD04,100335,20067,100335,0,2023,Sep,West Darfur,97460,SD04
West Kordofan,SD18,46231,8944,46231,0,2023,Sep,West Darfur,10,SD04
White Nile,SD09,286238,57271,194968,91270,2023,Sep,West Darfur,0,SD04
